#K o[k] d[k] q[k] b[k] f[k] p[k] tmax[k] s[k] penalty[k]
0 2 14 3 20 50 9978 28 0 30
1 5 13 35 20 50 9979 29 0 30
2 4 12 28 20 50 9979 29 0 30
3 4 16 9 20 50 9967 17 1 200
4 1 14 23 20 50 9980 30 0 30
5 5 16 3 20 50 9978 28 0 30
6 5 12 38 20 50 9976 26 0 30
7 2 12 9 20 50 9977 27 0 30
8 4 14 27 20 50 9968 18 1 200
9 3 13 5 20 50 9978 28 1 30
10 1 16 30 20 50 9977 27 1 30
11 3 12 22 20 50 9979 29 0 30
12 1 14 39 20 50 9979 29 1 30
13 4 13 28 20 50 9978 28 0 30
14 1 16 26 20 50 9977 27 0 30
15 2 16 37 20 50 9979 29 1 30
16 2 13 31 20 50 9972 22 0 200
17 2 16 16 20 50 9976 26 1 30
18 2 12 19 20 50 9972 22 0 200
19 2 14 5 20 50 9976 26 0 30
20 1 15 11 20 50 9978 28 0 30
21 4 13 35 20 50 9980 30 0 30
22 2 16 19 20 50 9977 27 0 30
23 1 14 30 20 50 9978 28 1 30
24 4 15 30 20 50 9977 27 0 30
25 1 15 37 20 50 9977 27 0 30
26 5 13 33 20 50 9980 30 0 30
27 1 14 31 20 50 9977 27 0 30
28 2 16 24 20 50 9980 30 1 30
29 2 12 8 20 50 9978 28 0 30
30 1 14 34 20 50 9965 15 0 200
31 4 12 1 20 50 9980 30 1 30
32 2 16 1 20 50 9980 30 0 30
33 4 15 4 20 50 9970 20 0 200
34 2 14 9 20 50 9980 30 1 30
35 2 15 4 20 50 9976 26 0 30
36 4 13 3 20 50 9976 26 0 30
37 4 15 18 20 50 9980 30 0 30
38 1 15 31 20 50 9980 30 0 30
39 2 12 37 20 50 9980 30 0 30
40 3 12 15 20 50 9970 20 0 200
41 2 15 37 20 50 9976 26 0 30
42 5 12 4 20 50 9980 30 0 30
43 1 16 15 20 50 9977 27 0 30
44 4 14 31 20 50 9978 28 1 30
45 5 15 1 20 50 9980 30 0 30
46 5 16 19 20 50 9979 29 0 30
47 3 16 27 20 50 9979 29 1 30
48 5 14 22 20 50 9976 26 0 30
49 1 15 35 20 50 9980 30 0 30
50 1 16 39 20 50 9978 28 0 30
51 3 14 8 20 50 9976 26 0 30
52 4 15 20 20 50 9980 30 1 30
53 4 14 15 20 50 9980 30 0 30
54 5 13 11 20 50 9978 28 0 30
55 3 16 37 20 50 9978 28 1 30
56 1 12 22 20 50 9978 28 0 30
57 1 13 3 20 50 9976 26 0 30
58 2 16 14 20 50 9978 28 0 30
59 5 12 37 20 50 9976 26 0 30
60 1 14 23 20 50 9978 28 0 30
61 3 15 4 20 50 9979 29 0 30
62 5 14 14 20 50 9979 29 0 30
63 3 13 37 20 50 9977 27 0 30
64 1 14 16 20 50 9978 28 0 30
65 5 14 19 20 50 9969 19 0 200
66 2 16 30 20 50 9978 28 0 30
67 1 12 1 20 50 9977 27 0 30
68 5 16 16 20 50 9969 19 0 200
69 1 14 19 20 50 9969 19 0 200
70 1 14 34 20 50 9976 26 0 30
71 4 16 5 20 50 9979 29 0 30
72 1 16 3 20 50 9978 28 0 30
73 3 12 38 20 50 9978 28 1 30
74 4 16 39 20 50 9978 28 0 30
75 1 15 5 20 50 9976 26 1 30
76 4 12 34 20 50 9976 26 0 30
77 1 14 22 20 50 9979 29 1 30
78 4 13 39 20 50 9976 26 0 30
79 5 13 12 20 50 9976 26 0 30
80 4 13 9 20 50 9980 30 0 30
81 4 13 5 20 50 9977 27 0 30
82 4 12 30 20 50 9980 30 1 30
83 4 13 27 20 50 9976 26 1 30
84 2 13 38 20 50 9977 27 0 30
85 5 16 24 20 50 9976 26 0 30
86 1 12 23 20 50 9980 30 0 30
87 1 15 38 20 50 9976 26 0 30
88 1 13 38 20 50 9965 15 0 200
89 2 15 19 20 50 9979 29 0 30
90 2 16 30 20 50 9977 27 0 30
91 4 15 27 20 50 9979 29 0 30
92 3 12 39 20 50 9976 26 0 30
93 4 14 15 20 50 9980 30 0 30
94 3 16 30 20 50 9965 15 0 200
95 2 16 4 20 50 9980 30 0 30
96 1 13 27 20 50 9979 29 0 30
97 1 14 33 20 50 9977 27 0 30
98 4 15 12 20 50 9977 27 0 30
99 5 14 16 20 50 9980 30 0 30
100 2 15 15 20 50 9976 26 0 30
101 4 14 12 20 50 9976 26 0 30
102 2 14 33 20 50 9968 18 0 200
103 1 14 16 20 50 9978 28 0 30
104 2 16 12 20 50 9977 27 0 30
105 2 14 3 20 50 9965 15 0 200
106 1 12 8 20 50 9980 30 0 30
107 2 12 4 20 50 9979 29 1 30
108 5 12 1 20 50 9979 29 0 30
109 3 16 22 20 50 9980 30 1 30
110 4 16 3 20 50 9976 26 1 30
111 4 14 15 20 50 9980 30 0 30
112 3 12 27 20 50 9978 28 1 30
113 4 12 5 20 50 9978 28 1 30
114 5 14 34 20 50 9976 26 1 30
115 3 14 20 20 50 9976 26 0 30
116 1 16 28 20 50 9976 26 1 30
117 4 15 30 20 50 9977 27 0 30
118 3 12 30 20 50 9976 26 0 30
119 4 12 18 20 50 9980 30 1 30
120 3 13 28 20 50 9976 26 0 30
121 3 14 26 20 50 9978 28 0 30
122 4 13 38 20 50 9977 27 1 30
123 3 12 38 20 50 9976 26 0 30
124 3 16 20 20 50 9977 27 0 30
125 3 12 39 20 50 9969 19 0 200
126 2 15 14 20 50 9976 26 0 30
127 4 12 38 20 50 9980 30 0 30
128 4 12 9 20 50 9978 28 1 30
129 5 12 3 20 50 9979 29 0 30
130 2 14 11 20 50 9972 22 1 200
131 2 13 6 20 50 9969 19 0 200
132 4 14 39 20 50 9980 30 0 30
133 2 16 18 20 50 9979 29 0 30
134 3 14 16 20 50 9976 26 1 30
135 2 14 15 20 50 9979 29 0 30
136 3 14 27 20 50 9976 26 0 30
137 4 15 18 20 50 9979 29 1 30
138 3 13 34 20 50 9966 16 0 200
139 5 13 34 20 50 9978 28 0 30
140 2 15 3 20 50 9977 27 0 30
141 5 16 34 20 50 9972 22 1 200
142 3 16 20 20 50 9966 16 0 200
143 1 15 14 20 50 9977 27 0 30
144 3 15 5 20 50 9978 28 0 30
145 2 13 16 20 50 9979 29 0 30
146 5 13 27 20 50 9977 27 1 30
147 4 15 31 20 50 9979 29 0 30
148 2 15 23 20 50 9965 15 1 200
149 1 14 28 20 50 9978 28 0 30
150 2 14 14 20 50 9980 30 1 30
151 2 14 5 20 50 9980 30 0 30
152 3 13 5 20 50 9977 27 0 30
153 5 14 31 20 50 9973 23 0 200
154 1 13 7 20 50 9966 16 0 200
155 3 13 22 20 50 9970 20 0 200
156 3 14 27 20 50 9976 26 0 30
157 5 14 30 20 50 9977 27 0 30
158 5 15 31 20 50 9976 26 0 30
159 1 15 11 20 50 9980 30 0 30
160 5 15 18 20 50 9976 26 0 30
161 4 12 15 20 50 9969 19 0 200
162 4 14 3 20 50 9980 30 0 30
163 3 13 20 20 50 9980 30 0 30
164 1 15 20 20 50 9980 30 0 30
165 5 13 3 20 50 9976 26 0 30
166 5 16 18 20 50 9979 29 0 30
167 1 14 26 20 50 9978 28 1 30
168 4 15 8 20 50 9979 29 0 30
169 5 15 18 20 50 9972 22 0 200
170 2 12 31 20 50 9979 29 0 30
171 1 12 23 20 50 9978 28 0 30
172 4 16 34 20 50 9969 19 0 200
173 2 15 16 20 50 9978 28 0 30
